#,C(Au),C(Ag),C(CTAB),C(I2959),UV Intensity,time,V(os),wl1,FWHM1,ISPR1,I400
1,0.149583165,0.0147099,5.530706133,1.121339676,17.39233006,6.310650332,5.414190247,861.6677704,183.3961332,0.167666914,0.058725419
2,0.129098224,0.015516236,7.533131533,1.041346276,16.36115817,9.712043854,5.058038798,911.7500666,206.4908186,0.25334501,0.060413728
3,0.147598143,0.014070013,7.096913866,1.119497421,15.44456856,7.789144342,5.315042858,921.4733619,203.4346417,0.154351056,0.04025464
4,0.076544418,0.011080857,2.868776407,0.650703627,19.38912032,18.93751237,6.472581712,832.3442499,145.4853895,0.034697201,0.018530023
5,0.147776433,0.015248387,5.378205436,1.225075794,17.68354953,7.100187967,5.555343146,906.9623835,187.9489598,0.1206681,0.03863076
6,0.065530958,0.006731667,3.735102477,0.986885088,13.85241035,20.25413009,4.703213258,766.0497179,173.089781,0.057822476,0.021115127
7,0.143496722,0.014850904,4.673177142,1.276664022,18.82662894,6.774862086,5.679539089,853.8974855,176.7939119,0.104770774,0.036754734
8,0.136672301,0.015181942,5.42812913,1.131655883,18.99307052,8.277065097,6.170565825,924.6873891,202.590156,0.156357295,0.058105254
9,0.143172747,0.01430504,5.198879871,1.240143814,19.21757219,8.92353467,5.656579638,836.6212637,183.291867,0.248809122,0.065286966
10,0.148992738,0.016477084,5.089116654,1.258318904,18.05918748,8.665675199,5.639025186,866.9852825,194.9932866,0.188585404,0.047820671
11,0.146390871,0.014827779,4.854662336,1.290174226,16.44028698,8.024795441,5.970936544,888.8255777,193.8830071,0.156788113,0.050106581
12,0.150108033,0.015085464,4.771963209,1.320789424,19.70403967,7.629331149,5.969291167,895.2248519,178.4934377,0.171488468,0.052669537
13,0.105762908,0.01847953,5.803147553,1.279553298,14.6493237,5.831193608,4.229668365,861.2935927,164.6377842,0.046315181,0.020680998
14,0.138312638,0.015358466,5.636476769,1.172320206,17.8793277,8.067090409,5.239190163,881.7945148,173.4112432,0.118731947,0.042964153
15,0.142363821,0.014387596,4.821233607,1.116565211,18.48801047,7.186210095,5.926827024,848.6022511,179.9840746,0.145791118,0.045728802
16,0.166887207,0.01444063,4.828998046,1.218404711,16.01523335,7.040682581,5.707854773,890.4172769,194.5107435,0.076390137,0.046370987
17,0.063574296,0.010701985,6.38965476,0.720438129,16.17152231,19.22494524,5.287406578,860.8684829,152.087244,0.014884497,0.012849489
18,0.147999243,0.015368376,5.37463492,1.257447615,17.89285972,9.405339734,5.558994106,847.2260437,224.1143459,0.082521705,0.03978352
19,0.135833747,0.014928858,4.698674874,1.271332618,18.05206025,8.591747848,6.190000051,852.4910526,193.6088863,0.093547457,0.025167759
20,0.133120226,0.01506062,4.903369558,1.239193112,17.37094842,7.921452412,5.187075571,913.7432575,187.4602216,0.077087297,0.030569961
21,0.11271969,0.013284501,9.459429782,1.173560587,15.2274375,13.53970727,6.138548174,725.9020952,202.7756316,0.064984672,0.045839387
22,0.145374617,0.015082837,5.11511218,1.10779204,17.00738615,7.299945139,5.311764573,850.6110472,177.0364037,0.066597942,0.025461134
23,0.062089884,0.012473374,5.363098421,0.65175871,20.47138512,10.43173587,5.264067855,901.7080313,139.9544934,0.016282284,0.013601409
24,0.139784392,0.015673112,4.823985485,1.256370047,17.43151553,7.875261868,5.345324973,857.2149333,187.6688687,0.161569879,0.061418788
25,0.150240289,0.016661317,4.050870743,1.30213928,18.33820329,7.918070875,5.352058927,790.1954565,179.9864787,0.130442649,0.052199377
26,0.137427057,0.018576093,6.750594836,0.996292821,22.10442038,12.58668839,5.001452454,813.9911786,153.3711969,0.159666683,0.066982037
27,0.150481473,0.015638695,4.530842273,1.215678195,17.26123575,8.65508022,5.72871199,858.5236086,187.2642504,0.169496131,0.050560102
28,0.148336416,0.013731166,5.248390205,1.156575981,17.12866102,8.296913979,5.62247604,949.9750386,172.7996855,0.072465794,0.023927694
29,0.090679794,0.017997138,5.343946996,1.044355421,10.78424455,16.65682757,6.305525689,781.0454389,160.9848544,0.077301788,0.044807043
30,0.151036758,0.015576155,5.174207819,1.351019349,18.36282354,8.660188129,5.229737619,881.6513125,201.1735537,0.137324845,0.045535702
31,0.144813243,0.015711329,5.537903814,1.292580014,18.51098883,8.237074577,5.231131991,890.5580714,187.4528516,0.124717011,0.047818688
32,0.144804196,0.016381738,4.765908658,1.173671949,18.61849386,8.848037363,5.43924277,919.1462503,191.0341798,0.133566152,0.037361015
33,0.07960421,0.013281395,3.591133691,0.928593297,14.68078253,16.38095367,5.684445343,768.3664664,179.898538,0.052631802,0.039236163
34,0.135925856,0.015225239,4.686414768,1.363725986,17.78713473,8.238328945,5.861046939,850.9671693,161.2658846,0.116955118,0.045028418
35,0.101744491,0.011875439,3.900044053,0.862657577,20.62868808,19.08127499,4.813434797,767.0563797,180.0288486,0.114237025,0.045907378
36,0.062801492,0.009191578,6.620580931,0.688726216,16.40377072,18.15918342,5.651292005,735.6131808,213.7441973,0.071122013,0.04801325
37,0.108364859,0.00987779,3.590204884,0.948918811,19.56920242,11.67634173,5.692785774,777.3174543,172.8485069,0.088276448,0.035789659
38,0.07370211,0.006122693,7.579741771,1.077674113,16.02392786,13.80489739,6.536047441,657.1397314,246.0317089,0.044453574,0.026944011
39,0.091317939,0.017746608,8.494832975,1.122257581,10.89769928,13.63510231,6.712206741,791.2666247,171.8653808,0.027522797,0.015316094
40,0.058669578,0.009513108,5.1974065,0.636488447,14.47203705,21.54848287,4.950511573,821.5592608,174.5863601,0.028069286,0.010587688
41,0.098504556,0.017450291,9.475939012,0.529652335,15.87893625,13.92696854,5.406621645,822.9128199,197.5154431,0.064250579,0.024771544
42,0.057085553,0.012075994,3.131906067,0.992708632,11.45026893,17.43874873,6.533064811,686.430661,207.0175927,0.029450182,0.035524724
43,0.137995537,0.008173641,4.542038017,1.232059847,15.97579465,14.41543052,6.744793444,739.0344452,188.8836173,0.139523824,0.075390438
44,0.139982534,0.018754715,9.628261096,1.042655003,14.15540452,10.152201,5.884784825,890.6626381,237.0491101,0.220208082,0.053809615
45,0.112093552,0.016485954,8.744949875,0.739240817,11.6926309,9.020887303,6.622718563,968.1897046,239.8967925,0.079650949,0.020919337
46,0.115193234,0.016439733,9.343067471,0.925842098,17.20267366,19.23473798,6.441158505,705.03089,215.371766,0.131754906,0.085326205
47,0.111164386,0.008261735,6.211504863,0.697828963,23.19337793,9.846413666,4.980272888,779.9402646,213.7914001,0.095850145,0.033145302
48,0.071197582,0.011908681,3.714525855,1.104283141,15.99978774,18.28685364,5.879484191,705.8409625,242.4105482,0.060825077,0.049568376
49,0.106053453,0.01729139,3.61583233,1.225348257,14.02029462,18.58603079,4.893067058,822.5403273,197.2927308,0.081939675,0.050226548
50,0.087622827,0.006725513,2.819199673,0.886251765,19.66149846,15.67484532,6.343662588,721.1155049,173.6516141,0.087596524,0.048499721
51,0.121576774,0.019358527,7.327838138,0.978483852,13.12124913,10.98731425,5.959404606,964.326077,254.8111975,0.173055251,0.033028629
52,0.088861083,0.019758532,8.689380205,0.686301391,17.41672908,13.63229422,5.220065164,751.47773,202.0307096,0.066310385,0.046036178
53,0.14208684,0.019053503,2.775741447,0.917585921,14.04657142,11.93435599,5.694088399,805.4726215,176.0067679,0.023679305,0.017313687
54,0.110703652,0.007301231,7.058394312,1.156999091,19.5549804,4.966560248,5.470836069,711.6678673,234.7316188,0.054487539,0.031411005
55,0.082999817,0.005670775,3.333379169,0.888983273,19.72718621,16.33915947,5.845591453,748.9537892,177.5714717,0.095656648,0.044249239
56,0.050759827,0.009448434,8.107026644,0.900207391,11.3456505,10.11620098,5.637183916,701.2022787,187.550617,0.012312532,0.008329439
57,0.079763941,0.007016717,3.316205929,0.874583829,20.26606267,17.02473806,6.298591652,775.4964315,186.7679612,0.045101156,0.026031195
58,0.121883747,0.009001516,8.107803772,0.850060223,22.09961657,13.78321205,6.497245316,745.8208882,196.8356586,0.09739507,0.03149577
59,0.127315059,0.015989226,9.705055282,1.065060654,10.98647528,16.79031832,6.131742909,813.9974828,231.9703286,0.046466973,0.01518241
60,0.099172899,0.007790384,5.749788197,1.047045224,11.43727637,7.288428946,5.699522195,820.6156526,188.9893821,0.062848718,0.018656523
61,0.076190133,0.015357236,8.479175062,0.626118904,22.46324784,13.81058428,5.855412719,693.2492738,239.6653285,0.044186592,0.036904437
62,0.058166889,0.006111202,2.833493827,0.703717509,12.49904619,15.57120369,5.211690374,840.6632954,186.6787049,0.044567894,0.019224201
63,0.108358035,0.013067355,9.740309951,1.201328844,14.43254445,5.256574232,5.71773995,808.0388123,206.3785226,0.049110325,0.013198444
64,0.064880549,0.01148003,3.77471704,0.980136817,10.22314894,4.995998856,6.218397668,803.7110963,192.3620088,0.015608231,0.011209375
65,0.110421702,0.008346173,3.85720939,0.936405305,18.62445476,10.55354362,6.323262468,761.8034286,163.3500215,0.109122961,0.04398026
66,0.102759249,0.014596561,3.9943765,1.095861603,15.55237567,9.133680572,5.395383211,736.5622614,176.9498968,0.096251354,0.036781193
67,0.106153674,0.006453089,6.304789997,0.950453567,16.15458093,14.07564128,6.06717642,772.5183666,199.7716334,0.086165418,0.034267604
68,0.139827516,0.014125231,8.20589801,0.953927358,12.24370146,14.27674761,5.132402944,861.6861195,230.6510058,0.051968908,0.022791837
69,0.07788375,0.005868797,9.951693273,0.759319386,15.33016679,11.64141389,6.084954574,670.6704461,243.4356438,0.027752158,0.018252954
