1,8.11,2,866.5,187.18,0.06,2.86
2,0,0,0,800,0,0
3,12.66,2,920.5,191.49,0.06,4.05
4,0.56,1,538.5,151.83,0.03,1.76
5,13.24,2,911,204.03,0.04,3.93
6,4.21,2,812.5,153.38,0.02,1.72
7,11.43,2,875,189.43,0.04,3.2
8,9.76,2,807,164.64,0.02,2.8
9,11.28,2,853.5,174.56,0.04,2.78
10,0,0,0,800,0,0
11,10.35,2,884,196.78,0.06,2.62
12,0,0,0,800,0,0
13,11.1,2,873,180.3,0.06,3.85
14,0,0,0,800,0,0
15,10.33,2,882.5,195.85,0.05,3.43
16,0,0,0,800,0,0
17,7.67,2,868.5,187.92,0.052,2.98
18,0.61,1,528,117.49,0.026,1.63
19,10.97,2,874.5,182.2,0.051,3.58
20,6.06,2,842.5,160.43,0.021,2.39
21,10.85,2,875,183.52,0.041,2.86
22,0.858,1,519.5,100,0.055,1.59
23,10.92,2,880,185.14,0.046,3.17
24,1.45,1,530,104.62,0.026,1.25
25,9.14,2,853.5,189.63,0.047,1.56
26,7.41,2,793,148.5,0.013,1.15
27,9.08,2,869,192.45,0.041,1.96
28,1.7585,1,530,246.22,0.028,1.05
29,8.34,2,834.5,179.25,0.026,3.65
30,0,0,0,800,0,0
31,7.68,2,857.5,175.38,0.03,2.49
32,3.62,2,751,203.8,0.044,1.4
33,10,2,861,182.76,0.029,2.36
34,6.703,1,811,136.14,0.012,1.3
35,7.3,2,847,182.02,0.059,2.71
36,0,0,0,800,0,0
37,6.8,2,853.5,173.57,0.05,2.36
38,6.62,2,827.5,178.6,0.062,2.71
39,9.01,2,862.5,184.65,0.049,3.54
40,1.49,1,539,144.14,0.025,1.33
41,4.84,2,847,167.16,0.023,3.49
42,4.44,2,810,158.91,0.042,1.76
43,7.41,2,867.5,182.37,0.043,3.12
44,1.13,1,525,117.31,0.022,1.29
45,7.84,2,857.5,189.33,0.052,2.37
46,0,0,0,800,0,0
47,8.06,2,864,186.05,0.037,3.66
48,2.61,2,803.5,171.69,0.041,1.35
49,5.31,2,836.5,169.39,0.047,2.42
50,5.16,2,797,178.69,0.051,2.15
